Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
USA,231,United States of America,2511,Wheat and products,5521,Feed,1000 tonnes,37.09,-95.71,1197,944,778,1494,3971,2735,1002,4259,5127,5253,7141,5430,3405,950,1015,2025,5239,4287,2338,1606,3669,5302,10103,11082,7735,10919,7898,4096,3786,13129,6654,5269,7395,9376,4183,8372,6818,10650,7846,8164,4953,3157,5524,4953,4354,3187,436,6260,4899,3620,4898,9943,6196
USA,231,United States of America,2511,Wheat and products,5142,Food,1000 tonnes,37.09,-95.71,13439,13314,13320,13525,13510,13479,13717,13840,13916,13825,13910,14011,14535,14524,15168,15918,15539,15644,16130,16151,16223,16859,16665,17260,18038,18513,19308,19635,19401,20657,20989,21680,22639,23095,25662,23749,23938,24398,24301,25393,24947,24315,24801,24511,24869,25250,25793,25302,24959,25167,25050,25757,25742
USA,231,United States of America,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,37.09,-95.71,481,574,518,564,620,589,611,645,695,566,655,609,619,676,700,643,716,532,885,888,1054,1163,985,867,912,1179,1460,1475,1559,1730,1851,1916,1834,2046,2236,2151,2284,2349,2056,2007,2026,2120,1827,1943,2021,2075,2104,2104,2118,2194,2127,2175,2203
USA,231,United States of America,2513,Barley and products,5521,Feed,1000 tonnes,37.09,-95.71,5247,5008,5073,5465,4289,4572,4463,4942,5399,6249,5835,5204,5045,3917,4058,3783,3849,4677,4391,3653,4302,5160,6052,6553,6945,6497,5511,3723,4202,4463,4899,4245,5247,4964,3898,4725,3134,3505,3005,2683,2271,1819,1617,2238,1035,1071,653,1415,1057,1089,827,1441,1440
USA,231,United States of America,2513,Barley and products,5142,Food,1000 tonnes,37.09,-95.71,131,131,152,152,152,152,180,174,174,152,124,122,126,131,143,148,151,162,165,165,167,167,172,174,177,172,165,158,155,147,140,151,145,148,148,152,148,159,151,151,157,159,153,158,152,162,164,169,166,167,164,160,160
USA,231,United States of America,2514,Maize and products,5521,Feed,1000 tonnes,37.09,-95.71,81588,80191,76406,75085,85373,84662,89488,91621,97133,91240,101528,109326,106252,81055,90984,91492,94738,108574,115905,107496,107811,116160,98457,104509,104501,118350,121647,99921,111315,117066,121867,133403,118868,138675,119189,134037,138442,138491,143326,147880,148558,140927,146844,155831,155323,140719,148787,131619,130193,121902,115739,109607,128024
USA,231,United States of America,2514,Maize and products,5142,Food,1000 tonnes,37.09,-95.71,1470,1499,1526,1570,1628,1714,1694,1489,1480,1404,1334,1262,1290,1356,1443,1486,1657,1707,1784,1812,1892,1977,2136,2344,2542,2891,3249,3272,3321,3363,3454,3461,3525,3597,3661,3725,3796,3830,3837,3842,3858,3871,3879,3879,3887,3887,3887,3887,3913,3954,3969,3935,3917
USA,231,United States of America,2515,Rye and products,5521,Feed,1000 tonnes,37.09,-95.71,287,180,170,267,249,251,177,233,242,290,415,442,204,178,193,135,178,203,175,168,206,244,302,366,277,348,269,290,231,196,191,155,178,175,152,124,135,104,146,59,75,85,61,107,96,100,99,56,37,93,71,148,184
USA,231,United States of America,2515,Rye and products,5142,Food,1000 tonnes,37.09,-95.71,112,119,119,122,116,122,125,135,117,128,126,113,103,94,76,69,60,52,45,29,38,23,50,45,52,46,40,39,89,89,85,85,88,84,83,87,78,89,83,82,83,83,83,83,84,84,85,84,83,81,85,86,87
USA,231,United States of America,2516,Oats,5521,Feed,1000 tonnes,37.09,-95.71,13339,12744,11830,11322,10915,10872,9957,10683,10669,11307,10770,10480,9777,8493,8157,7082,7472,7693,7189,6343,6648,6421,6880,6323,6738,5580,5199,2813,3846,4151,3411,3382,2801,3396,2830,2497,2685,2845,2613,3034,2148,2177,2086,1977,1969,1814,1744,1568,1666,1481,1264,1389,1430
USA,231,United States of America,2516,Oats,5142,Food,1000 tonnes,37.09,-95.71,594,361,634,638,631,621,597,534,555,574,596,619,600,603,611,591,578,552,577,549,527,559,595,592,637,649,723,1080,1412,1442,1500,1537,1597,1188,1188,1265,1287,900,903,937,1018,1013,1078,1097,1153,1218,1177,1183,1139,1312,1361,1300,1265
USA,231,United States of America,2517,Millet and products,5521,Feed,1000 tonnes,37.09,-95.71,107,111,113,114,121,124,133,161,147,143,124,124,115,95,90,81,84,46,71,54,81,76,83,97,94,97,111,107,51,113,97,141,106,152,128,171,154,126,342,113,388,47,229,284,244,185,329,283,151,204,138,28,394
USA,231,United States of America,2518,Sorghum and products,5521,Feed,1000 tonnes,37.09,-95.71,10440,9932,11964,10465,14453,15266,13488,15596,16205,17374,17577,16765,17621,10938,12551,10445,11367,13663,12584,8197,10592,12568,9772,13699,16861,13623,14105,11837,13132,10414,9500,12142,11507,10160,7493,13107,9271,6655,7239,5651,5842,4328,4624,4860,3548,2868,4188,4826,3556,3175,1803,2375,2351
USA,231,United States of America,2518,Sorghum and products,5142,Food,1000 tonnes,37.09,-95.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,151,149,149,147,124,99,107,103,110,112,13,1,29,175,256,272,338,351,445,225,253,301,299,305,308,308,308,280,250,230,235,247,254,227,212,208,210,236
